# {"t_start": 1548798331.965678, "env_id": "SeaquestNoFrameskip-v4"} 
r,l,t
100.0,556,1331.731188
40.0,510,1336.439135
160.0,657,1342.536915
20.0,376,1345.947867
40.0,527,1350.847619
100.0,496,1355.4744
40.0,401,1359.203716
20.0,395,1362.848475
0.0,318,1365.800786
60.0,462,1370.021907
0.0,352,1373.237893
0.0,295,1375.922701
0.0,318,1378.84039
0.0,422,1382.699864
0.0,287,1385.255397
40.0,606,1390.812631
40.0,353,1394.008731
40.0,399,1397.731882
60.0,558,1402.884777
20.0,381,1406.314403
80.0,388,1409.92094
100.0,584,1415.327698
80.0,624,1421.153686
220.0,751,1428.171034
180.0,780,1435.415127
140.0,550,1440.466363
80.0,633,1446.360433
200.0,960,1455.380902
20.0,429,1459.377091
100.0,439,1463.451821
40.0,419,1467.282939
140.0,739,1474.156079
0.0,314,1477.054771
100.0,483,1481.538393
300.0,971,1490.649765
60.0,555,1495.735656
20.0,317,1498.638843
80.0,432,1502.59895
60.0,428,1506.516163
80.0,456,1510.742638
60.0,492,1515.266
40.0,447,1519.380534
20.0,350,1522.573759
20.0,409,1526.34115
0.0,325,1529.271136
80.0,559,1534.478322
100.0,614,1540.107754
120.0,626,1545.684813
80.0,504,1550.165979
40.0,436,1554.051986
80.0,471,1558.234115
20.0,539,1563.112577
100.0,721,1569.635461
20.0,373,1573.078918
120.0,599,1578.624833
80.0,657,1584.699275
0.0,299,1587.396209
40.0,429,1591.344488
80.0,470,1595.675739
40.0,375,1599.166275
180.0,743,1606.201044
0.0,387,1609.720316
40.0,415,1613.547215
60.0,514,1618.29496
100.0,588,1623.699548
80.0,390,1627.344497
140.0,586,1632.852036
140.0,645,1638.746382
80.0,645,1644.561881
120.0,711,1651.200142
20.0,334,1654.268347
60.0,494,1658.806265
80.0,593,1664.244547
100.0,536,1669.16509
100.0,546,1674.190914
80.0,704,1680.727047
100.0,580,1686.032757
100.0,475,1690.300348
80.0,472,1694.478858
80.0,511,1699.077466
80.0,485,1703.435466
80.0,490,1707.932704
260.0,838,1715.764827
120.0,461,1720.05108
140.0,631,1725.923198
60.0,391,1729.534354
200.0,634,1735.510285
80.0,405,1739.157454
40.0,399,1742.871061
20.0,510,1747.647221
40.0,488,1752.134773
0.0,290,1754.795615
20.0,433,1758.742735
0.0,322,1761.67366
0.0,371,1765.153791
140.0,506,1769.747315
40.0,379,1773.226231
0.0,482,1777.62734
140.0,603,1783.115967
0.0,350,1786.314377
0.0,338,1789.336824
40.0,451,1793.479629
80.0,437,1797.506778
0.0,345,1800.618421
100.0,698,1807.059378
20.0,382,1810.574733
0.0,315,1813.480951
0.0,388,1816.984261
40.0,463,1821.237537
20.0,377,1824.642729
0.0,321,1827.554169
20.0,349,1830.729862
20.0,384,1834.323309
20.0,357,1837.538751
0.0,320,1840.480768
60.0,527,1845.269823
20.0,382,1848.823137
160.0,706,1855.415107
100.0,626,1861.16808
80.0,441,1865.181782
120.0,564,1870.403875
0.0,350,1873.542054
0.0,364,1876.896311
40.0,432,1880.822363
100.0,533,1885.80119
120.0,591,1891.255945
60.0,543,1896.240097
40.0,464,1900.522161
120.0,508,1905.339132
60.0,506,1910.15703
80.0,507,1915.027404
20.0,418,1918.955379
20.0,589,1924.484067
0.0,436,1928.540417
80.0,445,1932.629551
0.0,353,1935.922502
20.0,418,1939.86274
20.0,513,1944.581745
0.0,310,1947.512769
0.0,337,1950.726485
40.0,484,1955.319649
20.0,391,1959.049424
0.0,380,1962.549656
0.0,433,1966.661103
40.0,376,1970.145824
0.0,347,1973.358193
0.0,368,1976.812371
20.0,472,1981.356956
20.0,315,1984.341777
0.0,295,1987.040771
0.0,353,1990.323803
40.0,493,1994.885109
20.0,438,1998.944477
40.0,529,2003.880124
0.0,386,2007.49469
20.0,399,2011.390762
40.0,459,2015.683783
40.0,510,2020.497281
40.0,444,2024.671947
0.0,337,2027.819517
20.0,443,2031.900114
40.0,421,2035.847389
60.0,383,2039.549309
20.0,464,2044.100948
20.0,363,2047.570202
20.0,394,2051.274076
20.0,358,2054.642794
20.0,449,2058.820106
60.0,495,2063.438713
0.0,319,2066.340252
0.0,449,2070.858015
20.0,417,2074.998495
0.0,310,2077.947682
80.0,615,2083.865466
40.0,513,2088.618794
0.0,349,2091.933428
20.0,387,2095.658253
120.0,443,2099.928102
0.0,360,2103.428869
60.0,596,2108.992971
40.0,427,2113.134293
60.0,604,2118.8882
160.0,655,2125.096476
40.0,396,2128.871242
0.0,321,2132.040413
40.0,331,2135.190053
40.0,379,2138.795827
140.0,743,2146.012029
100.0,540,2151.179043
40.0,427,2155.114302
100.0,478,2159.492645
100.0,532,2164.431155
40.0,412,2168.261421
80.0,417,2172.174
40.0,411,2175.925075
60.0,442,2180.032461
40.0,527,2184.995981
260.0,794,2192.502698
140.0,529,2197.500923
40.0,398,2201.183307
0.0,344,2204.382111
220.0,740,2211.247084
160.0,680,2217.69999
220.0,914,2226.247369
60.0,354,2229.559649
60.0,518,2234.280774
40.0,436,2238.336299
0.0,305,2241.177381
160.0,729,2247.960606
280.0,975,2257.034845
80.0,686,2263.425087
240.0,1051,2273.295673
180.0,667,2279.410054
20.0,424,2283.290606
200.0,825,2290.898073
20.0,476,2295.30287
60.0,471,2299.635891
240.0,794,2306.972764
220.0,791,2314.392404
180.0,759,2321.352845
40.0,436,2325.452935
80.0,662,2331.657827
80.0,529,2336.783689
160.0,835,2344.781015
140.0,458,2349.088342
300.0,1111,2359.656645
180.0,837,2367.593801
100.0,494,2372.386724
220.0,826,2380.759695
180.0,652,2386.960092
160.0,976,2396.116968
300.0,1128,2407.014141
300.0,1016,2417.034316
160.0,509,2421.791912
160.0,699,2428.49671
0.0,330,2431.746695
40.0,342,2434.985345
20.0,438,2439.202993
200.0,979,2448.496407
140.0,647,2454.667251
120.0,622,2460.504542
20.0,385,2464.098402
120.0,558,2469.504512
0.0,412,2473.5353
40.0,429,2477.626683
80.0,557,2482.777645
0.0,479,2487.157004
0.0,390,2490.64761
20.0,404,2494.362842
0.0,389,2497.888618
40.0,510,2502.687287
0.0,371,2506.040016
80.0,530,2510.967396
20.0,458,2515.205401
140.0,771,2522.305474
120.0,622,2528.043652
120.0,592,2533.442771
20.0,309,2536.308354
100.0,662,2542.513436
40.0,429,2546.399601
0.0,324,2549.371147
20.0,413,2553.105986
40.0,466,2557.479885
140.0,623,2563.303623
0.0,320,2566.267437
140.0,1038,2576.11539
20.0,403,2579.752095
40.0,389,2583.29992
40.0,435,2587.365298
20.0,445,2591.515813
80.0,473,2595.946657
0.0,271,2598.456801
20.0,374,2601.953564
120.0,568,2607.317884
100.0,573,2612.724651
60.0,675,2619.081011
60.0,409,2622.830806
0.0,300,2625.493945
20.0,433,2629.576024
20.0,440,2633.694401
60.0,450,2637.911055
20.0,539,2642.796028
100.0,689,2649.229279
40.0,454,2653.460519
300.0,1021,2663.026924
0.0,346,2666.224836
40.0,432,2670.284672
0.0,373,2673.729836
40.0,486,2678.227056
20.0,436,2682.206662
60.0,512,2686.949306
20.0,488,2691.50711
20.0,406,2695.310568
40.0,426,2699.315669
20.0,336,2702.454272
20.0,526,2707.333237
60.0,449,2711.394922
20.0,427,2715.314146
40.0,459,2719.565592
80.0,479,2723.948016
60.0,510,2728.630568
40.0,445,2732.739933
120.0,574,2738.11445
100.0,412,2741.840268
40.0,387,2745.334086
100.0,598,2750.8435
80.0,470,2755.213542
220.0,1001,2764.467455
100.0,538,2769.429122
120.0,707,2776.13793
160.0,840,2784.085784
240.0,951,2793.021291
40.0,474,2797.316283
80.0,467,2801.615493
80.0,504,2806.176986
80.0,507,2810.852362
260.0,992,2820.114154
60.0,399,2823.80279
