# {"t_start": 1549290854.1318896, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
4.0,324,1984.40066
0.0,127,1989.900384
3.0,228,1999.737496
1.0,175,2007.365445
0.0,127,2012.752708
2.0,204,2021.979835
2.0,202,2031.149139
3.0,230,2040.928877
0.0,129,2046.578474
3.0,233,2057.216411
2.0,225,2067.009326
5.0,369,2084.012167
1.0,176,2091.82558
1.0,155,2098.882876
3.0,271,2111.441034
0.0,129,2117.034861
4.0,301,2130.997629
1.0,173,2138.377504
3.0,248,2149.587775
2.0,186,2157.505961
1.0,171,2165.333972
1.0,157,2172.130934
3.0,232,2182.592299
2.0,202,2191.651708
1.0,157,2198.379586
0.0,127,2204.051372
10.0,474,2225.759977
3.0,270,2237.813933
0.0,125,2243.243882
3.0,269,2255.429479
1.0,157,2262.320383
0.0,129,2267.798471
1.0,172,2275.734029
0.0,127,2281.280721
3.0,270,2293.190008
3.0,233,2303.927641
1.0,157,2310.210207
2.0,206,2319.618181
3.0,268,2331.902668
0.0,129,2337.293522
1.0,157,2344.209414
2.0,221,2353.96689
2.0,200,2362.959217
0.0,129,2368.030934
1.0,153,2375.08317
1.0,176,2382.955819
0.0,127,2388.511939
0.0,129,2393.929318
1.0,175,2402.075109
0.0,123,2407.093274
3.0,254,2419.073118
0.0,127,2424.23771
2.0,222,2434.416024
0.0,129,2440.08717
1.0,177,2447.937896
0.0,127,2453.419902
3.0,252,2464.659265
0.0,129,2470.4695
2.0,202,2479.055561
3.0,248,2490.646239
1.0,173,2498.297674
0.0,125,2503.446186
2.0,224,2513.882117
0.0,127,2519.106946
1.0,157,2526.320842
2.0,203,2535.283469
7.0,324,2550.399963
1.0,175,2558.24492
0.0,127,2563.114435
1.0,155,2570.040458
3.0,251,2581.160973
2.0,220,2590.8458
5.0,337,2606.283631
3.0,274,2618.779275
0.0,127,2624.169793
1.0,157,2631.059459
1.0,174,2638.638923
0.0,129,2644.235233
1.0,172,2651.989609
2.0,202,2660.814968
0.0,129,2666.79646
2.0,219,2676.570599
0.0,127,2682.061168
0.0,129,2687.190854
2.0,221,2697.327497
1.0,175,2704.779158
3.0,248,2715.872296
3.0,254,2727.640324
0.0,129,2733.006874
0.0,127,2738.71879
0.0,127,2744.08299
2.0,224,2754.426384
1.0,155,2761.032543
1.0,173,2768.925191
0.0,125,2774.382487
2.0,204,2783.357796
2.0,224,2793.711223
3.0,252,2804.95969
1.0,153,2811.105869
2.0,222,2821.079319
4.0,296,2834.930578
1.0,152,2841.582187
1.0,174,2849.120481
0.0,129,2854.843519
2.0,219,2864.542859
3.0,252,2876.138606
2.0,224,2885.882442
7.0,391,2903.680403
1.0,173,2911.286804
3.0,228,2921.514158
1.0,155,2928.41213
1.0,155,2935.146827
6.0,328,2950.139219
4.0,262,2961.936686
1.0,171,2969.755062
5.0,351,2985.756361
2.0,198,2994.215739
2.0,183,3002.309579
4.0,258,3013.927348
3.0,250,3025.203642
3.0,272,3037.390479
1.0,171,3044.890264
2.0,204,3054.071761
0.0,125,3059.121975
0.0,129,3064.669319
2.0,203,3073.568529
0.0,129,3079.186334
1.0,175,3086.621925
1.0,153,3093.03771
0.0,127,3098.91972
2.0,225,3108.891565
3.0,234,3119.42644
1.0,172,3127.411748
1.0,176,3134.739587
1.0,153,3141.540534
1.0,157,3148.19319
6.0,393,3166.396434
0.0,129,3171.443372
2.0,185,3179.838316
3.0,238,3190.569284
0.0,127,3196.172437
5.0,348,3212.323203
3.0,248,3223.407912
0.0,127,3228.748772
3.0,233,3239.087874
5.0,329,3253.679018
0.0,129,3259.12892
1.0,175,3267.070581
4.0,319,3281.694409
0.0,129,3287.208922
4.0,301,3301.030666
1.0,175,3308.984361
8.0,355,3325.255755
0.0,129,3330.715425
0.0,127,3336.315919
0.0,129,3341.807689
2.0,180,3350.182628
1.0,173,3357.44643
4.0,262,3369.258653
1.0,176,3377.230441
0.0,129,3382.684503
1.0,159,3389.953688
1.0,176,3397.41085
2.0,203,3406.812591
3.0,270,3419.066216
2.0,223,3428.582511
1.0,173,3435.734543
1.0,154,3442.1168
2.0,183,3449.82681
7.0,423,3468.927456
1.0,174,3476.517642
2.0,202,3485.438344
2.0,224,3495.600474
1.0,155,3502.439363
4.0,319,3516.492994
3.0,271,3528.440546
5.0,333,3544.063695
2.0,185,3552.095557
1.0,175,3559.702139
0.0,129,3565.272642
0.0,129,3571.057429
0.0,129,3576.516717
0.0,127,3582.340012
0.0,127,3587.465081
2.0,185,3596.061261
0.0,129,3601.487722
2.0,204,3610.335505
0.0,127,3615.600372
1.0,157,3622.604303
1.0,173,3630.106185
0.0,127,3635.4966
0.0,127,3640.72377
0.0,127,3646.085239
1.0,155,3653.290248
2.0,209,3662.340127
0.0,125,3667.734385
1.0,155,3674.172074
2.0,222,3684.476062
9.0,384,3701.599671
4.0,246,3712.927134
4.0,278,3725.629781
3.0,248,3736.680465
1.0,155,3743.311206
4.0,285,3756.529685
0.0,129,3762.313832
4.0,258,3774.233216
1.0,169,3781.769748
2.0,187,3790.314771
1.0,175,3797.961371
4.0,301,3811.343952
10.0,459,3832.458817
0.0,125,3837.699577
0.0,127,3842.621313
1.0,156,3849.820925
2.0,183,3857.804806
3.0,253,3869.187012
4.0,281,3881.848513
1.0,174,3889.491008
2.0,224,3899.459125
1.0,157,3906.577467
2.0,200,3915.228023
1.0,175,3922.593479
0.0,125,3927.724684
1.0,173,3935.300171
1.0,173,3942.973635
1.0,160,3949.988667
2.0,200,3959.16401
4.0,265,3971.135381
2.0,183,3979.144323
2.0,202,3988.15809
2.0,187,3996.647389
3.0,257,4007.825833
2.0,198,4016.736279
4.0,301,4030.961945
2.0,205,4039.494085
0.0,129,4045.203731
3.0,246,4056.223365
2.0,187,4064.624645
1.0,176,4072.189543
2.0,199,4081.023238
4.0,303,4094.717122
2.0,187,4102.76266
1.0,155,4109.587691
1.0,157,4115.895698
3.0,248,4126.918562
0.0,127,4132.370889
2.0,200,4141.477242
4.0,301,4155.294223
3.0,276,4167.775459
2.0,225,4178.131342
0.0,129,4183.574744
3.0,249,4195.112707
4.0,299,4208.31444
4.0,280,4220.959327
2.0,206,4229.91767
0.0,127,4235.373618
2.0,199,4244.2663
2.0,184,4252.251476
3.0,252,4263.696184
2.0,203,4272.539514
2.0,185,4280.652772
7.0,407,4299.627441
0.0,125,4305.33252
1.0,173,4312.799582
5.0,309,4327.014928
3.0,272,4339.574818
0.0,129,4344.921768
1.0,153,4351.28951
1.0,157,4358.060279
3.0,250,4369.370937
0.0,129,4375.235225
2.0,207,4384.19794
0.0,129,4389.923687
2.0,202,4398.800512
2.0,225,4408.588961
3.0,271,4421.063494
2.0,221,4430.672428
1.0,157,4437.164919
1.0,153,4444.220416
5.0,349,4460.561658
0.0,129,4465.99469
2.0,204,4475.686923
5.0,351,4491.412451
4.0,323,4506.130144
1.0,173,4513.957821
0.0,129,4519.503252
4.0,296,4532.949265
2.0,224,4543.196977
5.0,371,4559.802547
3.0,257,4571.898024
0.0,125,4577.00068
2.0,185,4585.519253
1.0,155,4592.154032
1.0,173,4600.073451
0.0,129,4605.060189
0.0,127,4610.881762
1.0,155,4617.831138
3.0,250,4629.018905
0.0,125,4634.033268
2.0,225,4644.205887
3.0,246,4655.470288
0.0,129,4660.727499
4.0,261,4672.97502
1.0,172,4679.954046
2.0,180,4687.804474
13.0,454,4708.688423
2.0,199,4717.608323
6.0,359,4733.88158
2.0,203,4743.156665
2.0,201,4751.951511
1.0,157,4758.987152
1.0,158,4765.833667
2.0,204,4774.780146
4.0,300,4788.289873
2.0,226,4798.399022
2.0,203,4807.442021
3.0,273,4819.360205
4.0,284,4832.3435
3.0,232,4842.704084
5.0,347,4858.24553
1.0,157,4864.893237
1.0,157,4872.038304
0.0,127,4877.50593
2.0,208,4886.790311
0.0,129,4892.215788
0.0,125,4897.655521
0.0,127,4903.072638
1.0,177,4910.863747
0.0,127,4916.060991
1.0,155,4922.773667
5.0,356,4939.114521
5.0,330,4954.364385
3.0,253,4965.793871
3.0,252,4977.366456
1.0,171,4985.00646
0.0,129,4990.504548
2.0,206,4999.852233
3.0,248,5011.04086
0.0,127,5016.3478
2.0,206,5025.420753
1.0,176,5032.952154
3.0,271,5045.566154
3.0,236,5056.05207
9.0,400,5074.343915
1.0,178,5082.336207
3.0,230,5092.404341
0.0,129,5097.863324
10.0,474,5119.725047
4.0,322,5134.09664
0.0,125,5139.615825
2.0,202,5148.815231
6.0,374,5166.182858
3.0,250,5176.956292
7.0,322,5191.609351
2.0,198,5200.297418
1.0,173,5208.174145
2.0,217,5217.40794
4.0,265,5229.136883
2.0,203,5238.635753
0.0,127,5244.167627
1.0,176,5251.991067
1.0,155,5258.887166
0.0,129,5264.424979
3.0,252,5275.795989
0.0,129,5281.569687
1.0,173,5289.200736
0.0,127,5294.70763
6.0,327,5309.487401
3.0,232,5320.155299
2.0,202,5328.903478
4.0,280,5341.734015
1.0,173,5349.361105
1.0,155,5356.278156
3.0,250,5367.662665
0.0,127,5373.012086
4.0,296,5386.625569
0.0,127,5392.055795
7.0,404,5410.641229
1.0,153,5417.356282
2.0,203,5426.44595
5.0,320,5441.122973
0.0,127,5446.561509
2.0,224,5456.886553
4.0,278,5469.644922
0.0,127,5475.218584
0.0,127,5480.849895
3.0,250,5491.911186
2.0,201,5500.697084
2.0,199,5509.391784
2.0,183,5517.295118
1.0,173,5525.034006
5.0,327,5539.473422
1.0,157,5546.030482
4.0,319,5560.536396
2.0,203,5569.843858
2.0,205,5579.0152
2.0,223,5588.338115
0.0,127,5593.709728
0.0,129,5599.154068
1.0,153,5605.490779
1.0,173,5613.215737
1.0,177,5621.087094
2.0,204,5630.193627
3.0,236,5641.130055
5.0,347,5657.34884
0.0,129,5662.740872
0.0,127,5668.080067
1.0,178,5675.75411
0.0,129,5681.375582
0.0,129,5686.859938
4.0,277,5699.339707
2.0,206,5708.788524
5.0,295,5722.339728
1.0,157,5728.967497
5.0,316,5743.049537
1.0,177,5751.07782
2.0,188,5759.202808
2.0,185,5767.592143
3.0,272,5779.599637
1.0,157,5786.513137
0.0,129,5792.377759
0.0,125,5797.715407
0.0,127,5803.319266
1.0,153,5810.074118
2.0,219,5820.005137
1.0,176,5827.393452
2.0,222,5837.289602
2.0,199,5846.392512
4.0,309,5860.093064
0.0,127,5865.612767
0.0,125,5870.541777
2.0,203,5879.914762
0.0,127,5885.210085
3.0,252,5896.746199
2.0,202,5905.773514
3.0,217,5915.635645
2.0,207,5925.14418
0.0,129,5930.731301
1.0,155,5937.206927
4.0,300,5951.06881
2.0,188,5959.287858
7.0,325,5974.228578
2.0,204,5983.189453
1.0,173,5990.883634
1.0,173,5998.76984
3.0,253,6010.010558
2.0,201,6019.000305
2.0,222,6028.815845
0.0,129,6034.138609
2.0,198,6043.08536
1.0,155,6049.898789
0.0,127,6055.181382
1.0,157,6062.099333
3.0,253,6073.587065
1.0,153,6080.352711
0.0,129,6085.670094
0.0,129,6091.250648
6.0,332,6106.180374
2.0,200,6114.847788
2.0,218,6124.620887
8.0,413,6142.996229
1.0,154,6149.671245
1.0,151,6156.280104
1.0,175,6163.860715
3.0,251,6175.140372
2.0,190,6183.534749
0.0,129,6189.104355
1.0,155,6195.672507
1.0,176,6203.802994
2.0,190,6212.058987
2.0,180,6220.003898
2.0,203,6228.95744
1.0,173,6236.673259
1.0,153,6243.375518
1.0,155,6250.193139
4.0,302,6263.860614
2.0,203,6273.140936
1.0,157,6280.029191
4.0,283,6293.235892
0.0,125,6298.117669
5.0,328,6313.215288
2.0,206,6322.5373
5.0,319,6336.825415
3.0,270,6349.275931
3.0,252,6360.865154
3.0,259,6372.882821
0.0,127,6378.039376
4.0,280,6390.757107
3.0,230,6401.14663
3.0,233,6411.667417
1.0,155,6418.586512
0.0,127,6423.934449
1.0,173,6431.452574
0.0,129,6436.885031
1.0,153,6443.85169
5.0,349,6459.807442
0.0,129,6464.974443
0.0,129,6470.638805
2.0,222,6480.352296
3.0,253,6491.672008
4.0,301,6505.523793
0.0,127,6511.024471
2.0,223,6520.58235
1.0,176,6528.799756
0.0,127,6533.938607
0.0,125,6539.304572
5.0,325,6554.24539
1.0,155,6561.061197
3.0,253,6572.510194
0.0,125,6577.611569
6.0,360,6594.326218
4.0,279,6607.212094
3.0,248,6618.023659
2.0,219,6628.1778
1.0,172,6635.764169
3.0,251,6646.860174
5.0,339,6662.512934
2.0,204,6672.018943
0.0,127,6677.244542
1.0,173,6685.228359
1.0,157,6692.107982
2.0,199,6701.053245
4.0,278,6713.734718
4.0,319,6728.159671
0.0,129,6733.61489
