# {"t_start": 1548872222.057447, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,762,1089.398467
-21.0,787,1093.499313
-21.0,760,1097.452517
-21.0,757,1101.399931
-21.0,760,1105.368615
-21.0,764,1109.354705
-21.0,762,1113.348242
-21.0,785,1117.437221
-21.0,761,1121.396875
-21.0,760,1125.353552
-21.0,759,1129.304788
-21.0,787,1133.39618
-21.0,758,1137.365176
-21.0,762,1141.364398
-21.0,758,1145.333463
-21.0,781,1149.41307
-21.0,790,1153.532175
-21.0,764,1157.502649
-21.0,788,1161.60629
-21.0,791,1165.716038
-21.0,788,1169.826776
-21.0,792,1173.95705
-21.0,787,1178.069525
-21.0,785,1182.152053
-21.0,762,1186.12265
-21.0,764,1190.100264
-21.0,789,1194.197501
-21.0,761,1198.147253
-21.0,785,1202.258627
-21.0,758,1206.213018
-21.0,761,1210.200198
-21.0,763,1214.181764
-21.0,762,1218.146308
-21.0,790,1222.260313
-21.0,785,1226.359682
-21.0,759,1230.336899
-21.0,760,1234.323233
-21.0,789,1238.456459
-21.0,761,1242.626365
-21.0,791,1246.751543
-21.0,789,1250.860867
-21.0,787,1254.969918
-21.0,761,1258.940145
-21.0,761,1262.910388
-21.0,791,1267.059156
-21.0,788,1271.167296
-21.0,760,1275.139945
-21.0,789,1279.249344
-21.0,759,1283.209742
-21.0,762,1287.176531
-21.0,764,1291.156766
-21.0,762,1295.132058
-21.0,758,1299.082349
-21.0,786,1303.182063
-21.0,787,1307.317919
-21.0,758,1311.273303
-21.0,791,1315.380658
-20.0,837,1319.739304
-21.0,760,1323.722262
-21.0,763,1327.705801
-21.0,786,1331.810755
-21.0,786,1335.912094
-21.0,760,1339.867872
-21.0,759,1343.832578
-21.0,764,1347.818934
-21.0,792,1351.952315
-21.0,764,1355.941897
-21.0,764,1359.932351
-21.0,758,1363.887538
-21.0,790,1368.012448
-21.0,790,1372.12943
-21.0,790,1376.250681
-21.0,786,1380.344073
-21.0,762,1384.328696
-21.0,762,1388.306188
-21.0,761,1392.271957
-21.0,792,1396.394627
-21.0,788,1400.511045
-21.0,792,1404.625157
-21.0,763,1408.59047
-21.0,763,1412.576007
-21.0,761,1416.555692
-21.0,763,1420.541553
-21.0,760,1424.500736
-21.0,764,1428.466107
-21.0,762,1432.427071
-21.0,786,1436.571399
-21.0,788,1440.705963
-21.0,763,1444.684463
-21.0,790,1448.832098
-20.0,902,1453.520754
-21.0,759,1457.471834
-21.0,787,1461.583171
-21.0,760,1465.535778
-21.0,761,1469.490828
-21.0,788,1473.598898
-20.0,840,1477.96668
-21.0,760,1481.932319
-21.0,791,1486.048413
-21.0,758,1490.01094
-21.0,788,1494.108852
-21.0,786,1498.198654
-21.0,789,1502.35314
-21.0,758,1506.30621
-21.0,764,1510.29744
-21.0,790,1514.426401
-21.0,785,1518.53254
-21.0,764,1522.523329
-21.0,817,1526.804398
-21.0,820,1531.095602
-21.0,816,1535.358596
-21.0,792,1539.499065
-21.0,787,1543.600751
-21.0,789,1547.714144
-21.0,785,1551.804528
-21.0,787,1555.918925
-21.0,790,1560.061929
-21.0,785,1564.158283
-21.0,791,1568.285556
-21.0,763,1572.253433
-21.0,814,1576.483211
-21.0,790,1580.611698
-21.0,762,1584.575772
-21.0,758,1588.530187
-21.0,760,1592.50374
-21.0,763,1596.474083
-21.0,762,1600.512285
-21.0,759,1604.49415
-21.0,757,1608.439575
-21.0,758,1612.393729
-21.0,758,1616.338636
-21.0,791,1620.459138
-21.0,761,1624.450192
-21.0,764,1628.4341
-21.0,820,1632.69283
-21.0,788,1636.799907
-21.0,785,1640.894575
-21.0,759,1644.847298
-21.0,790,1648.953244
-21.0,788,1653.07324
-21.0,761,1657.040873
-21.0,789,1661.158258
-21.0,761,1665.114278
-21.0,759,1669.071729
-21.0,758,1673.012364
-21.0,792,1677.145113
-21.0,761,1681.138312
-21.0,791,1685.275552
-21.0,763,1689.256316
-21.0,786,1693.357559
-21.0,763,1697.344609
-21.0,759,1701.313828
-21.0,764,1705.287926
-21.0,761,1709.253025
-21.0,764,1713.253381
-21.0,790,1717.391971
-21.0,762,1721.372346
-21.0,792,1725.51208
-21.0,759,1729.473632
-21.0,789,1733.580305
-21.0,758,1737.562735
-21.0,777,1741.651779
-21.0,759,1745.607696
-21.0,789,1749.719702
-21.0,787,1753.818065
-21.0,760,1757.780675
-21.0,789,1761.89108
-21.0,789,1765.993186
-21.0,764,1769.961586
-21.0,839,1774.341147
-21.0,787,1778.435977
-21.0,785,1782.5316
-21.0,763,1786.502571
-21.0,789,1790.615616
-21.0,764,1794.589388
-21.0,788,1798.712664
-21.0,787,1802.842835
-21.0,790,1806.954614
-21.0,786,1811.057931
-21.0,786,1815.157327
-21.0,764,1819.145652
-21.0,787,1823.260533
-21.0,757,1827.209747
-21.0,764,1831.196744
-21.0,792,1835.335295
-21.0,762,1839.31372
-21.0,761,1843.283089
-21.0,792,1847.460788
-21.0,762,1851.43172
-21.0,764,1855.399547
-21.0,809,1859.611315
-21.0,763,1863.607213
-20.0,841,1868.000879
-21.0,787,1872.110135
-21.0,790,1876.221123
-21.0,763,1880.199317
-21.0,763,1884.166811
-21.0,764,1888.131
-21.0,761,1892.108422
-21.0,761,1896.128507
-21.0,759,1900.125503
-21.0,760,1904.082462
-21.0,759,1908.035996
-21.0,789,1912.149079
-21.0,790,1916.263973
-21.0,759,1920.234807
-21.0,760,1924.190163
-21.0,791,1928.20677
-21.0,787,1932.327876
-21.0,764,1936.355376
-21.0,789,1940.639692
-21.0,791,1944.785714
-21.0,760,1948.757117
-21.0,761,1952.743385
-21.0,760,1956.734658
-21.0,761,1960.712767
-21.0,786,1964.816657
-21.0,760,1968.778081
-21.0,760,1972.740821
-21.0,758,1976.699696
-21.0,791,1980.84483
-21.0,757,1984.795626
-21.0,790,1988.910432
-21.0,759,1992.862485
-21.0,762,1996.831405
-21.0,757,2000.778178
-21.0,764,2004.74273
-21.0,790,2008.874267
-21.0,775,2012.931663
-21.0,758,2016.899185
-21.0,762,2020.881514
-21.0,762,2024.850365
-21.0,758,2028.806981
-21.0,786,2032.91556
-21.0,762,2036.919
-21.0,761,2040.904621
-21.0,757,2044.862737
-21.0,786,2048.973247
-20.0,840,2053.347765
-21.0,785,2057.431634
-21.0,791,2061.551389
-21.0,760,2065.512276
-21.0,763,2069.471783
-21.0,785,2073.570467
-21.0,791,2077.694139
-21.0,763,2081.670487
-21.0,787,2085.769634
-21.0,759,2089.737267
-21.0,790,2093.862004
-21.0,789,2097.967864
-21.0,760,2101.958679
-21.0,760,2105.926386
-21.0,764,2109.923352
-21.0,758,2113.886802
-21.0,790,2118.007097
-21.0,762,2121.98256
-21.0,786,2126.083583
-21.0,789,2130.192487
-21.0,760,2134.173626
-21.0,786,2138.291833
-21.0,763,2142.273058
-21.0,785,2146.365448
-21.0,764,2150.343976
-21.0,759,2154.30559
-21.0,761,2158.286825
-21.0,762,2162.258317
-21.0,792,2166.393261
-21.0,761,2170.374169
-21.0,786,2174.460265
-21.0,763,2178.445337
-21.0,809,2182.666653
-21.0,788,2186.762084
-21.0,764,2190.749086
-21.0,790,2194.870615
-21.0,759,2198.856064
-21.0,789,2202.963097
-21.0,785,2207.050889
-21.0,763,2211.070151
-21.0,785,2215.215547
-21.0,785,2219.317481
-21.0,791,2223.459
-21.0,789,2227.595118
-21.0,758,2231.561861
-21.0,762,2235.539277
-21.0,790,2239.661331
-21.0,787,2243.769427
-21.0,787,2247.882051
-21.0,762,2251.923958
-21.0,764,2255.889577
-21.0,791,2259.53206
-21.0,759,2263.022147
-21.0,788,2266.633462
-21.0,791,2270.255112
-21.0,789,2273.882395
-21.0,790,2277.512647
-21.0,760,2281.013153
-21.0,761,2284.506326
-21.0,788,2288.119403
-21.0,762,2291.615659
-21.0,787,2295.228627
-21.0,818,2298.976501
-21.0,785,2302.583682
-21.0,785,2306.179255
-21.0,760,2309.663473
-21.0,762,2313.16214
